split,age_year,light,tan,dark,unlabeled,total
train,10,12,36,13,0,61
train,11,11,62,53,0,126
train,12,16,63,44,0,123
train,13,8,113,27,0,148
train,14,38,58,47,0,143
train,15,18,27,68,9,122
train,16,34,43,68,2,147
train,17,50,20,49,2,121
train,18,12,36,23,0,71
train,19,48,24,60,0,132
train,20,47,24,47,0,118
train,21,12,48,60,0,120
train,22,0,48,73,0,121
train,23,48,35,36,0,119
train,24,22,12,36,0,70
train,25,0,12,46,0,58
train,26,11,24,24,0,59
train,27,0,23,47,0,70
train,28,0,12,24,7,43
train,29,65,12,12,0,89
train,30,12,12,12,0,36
train,31,16,24,0,0,40
train,32,12,0,24,0,36
train,33,0,0,18,0,18
train,34,0,24,24,0,48
train,35,12,0,24,0,36
train,36,12,0,0,0,12
train,37,12,24,24,0,60
train,38,24,24,0,0,48
train,39,0,23,0,0,23
train,40,0,24,12,0,36
train,41,12,0,0,0,12
train,42,0,24,24,0,48
train,43,0,12,24,0,36
train,44,0,0,0,0,0
train,45,12,12,12,13,49
train,46,12,12,12,0,36
train,47,48,0,24,0,72
train,48,0,0,25,0,25
train,49,12,0,0,4,16
train,50,0,12,12,0,24
train,51,12,8,12,0,32
train,52,0,12,11,0,23
train,53,0,0,0,0,0
train,54,24,12,0,0,36
train,55,12,12,0,0,24
train,56,0,0,12,0,12
train,57,0,0,0,0,0
train,58,12,0,0,0,12
train,59,0,12,0,0,12
train,60,12,0,12,0,24
train,61,11,0,0,0,11
train,65,0,0,12,0,12
train,67,0,0,0,0,0
val,10,0,22,0,0,22
val,11,0,11,22,0,33
val,12,0,36,8,0,44
val,13,8,0,18,0,26
val,14,4,16,9,0,29
val,15,9,18,15,0,42
val,16,9,9,9,0,27
val,17,19,20,0,0,39
val,18,0,0,12,0,12
val,19,12,12,12,0,36
val,20,0,22,24,0,46
val,21,12,0,12,0,24
val,22,0,24,0,0,24
val,23,0,12,12,0,24
val,24,12,0,12,0,24
val,25,0,0,12,0,12
val,26,0,12,12,0,24
val,27,4,0,0,0,4
val,28,0,12,0,0,12
val,29,14,0,13,0,27
val,30,12,0,0,0,12
val,31,0,0,0,0,0
val,32,0,24,0,0,24
val,33,0,0,0,0,0
val,34,0,0,0,0,0
val,35,0,0,12,0,12
val,36,0,0,12,0,12
val,37,12,0,0,0,12
val,38,0,0,0,0,0
val,39,0,4,0,0,4
val,40,0,0,0,0,0
val,41,0,12,0,0,12
val,42,0,11,0,0,11
val,43,12,0,0,0,12
val,44,0,0,10,0,10
val,45,0,0,0,0,0
val,46,0,0,12,0,12
val,47,0,0,12,0,12
val,48,0,0,0,0,0
val,49,0,0,12,0,12
val,50,12,0,0,0,12
val,51,12,0,0,0,12
val,52,0,0,0,0,0
val,53,0,0,0,0,0
val,54,0,0,0,0,0
val,55,0,0,12,0,12
val,56,0,0,0,0,0
val,57,0,0,12,0,12
val,58,0,0,0,0,0
val,59,0,12,0,0,12
val,60,0,0,0,0,0
val,61,0,0,0,0,0
val,65,0,0,0,0,0
val,67,0,0,0,0,0
test,10,0,0,0,0,0
test,11,21,10,10,0,41
test,12,9,24,0,0,33
test,13,0,0,26,0,26
test,14,8,4,16,0,28
test,15,9,27,0,0,36
test,16,0,0,26,0,26
test,17,20,20,0,0,40
test,18,11,0,12,0,23
test,19,0,12,12,0,24
test,20,0,12,24,0,36
test,21,12,0,0,0,12
test,22,0,0,12,0,12
test,23,0,0,36,0,36
test,24,0,0,12,0,12
test,25,0,12,12,0,24
test,26,12,0,5,0,17
test,27,0,0,0,0,0
test,28,12,0,12,0,24
test,29,0,0,0,8,8
test,30,12,0,0,0,12
test,31,0,0,0,0,0
test,32,0,0,0,0,0
test,33,0,12,0,0,12
test,34,0,11,0,0,11
test,35,0,0,0,0,0
test,36,0,0,0,0,0
test,37,0,0,12,0,12
test,38,0,0,0,0,0
test,39,11,0,0,0,11
test,40,0,0,0,0,0
test,41,0,12,0,0,12
test,42,0,23,0,0,23
test,43,0,0,0,0,0
test,44,0,0,0,0,0
test,45,0,0,11,0,11
test,46,0,0,12,0,12
test,47,0,12,0,0,12
test,48,0,0,0,0,0
test,49,0,0,0,0,0
test,50,0,0,24,0,24
test,51,0,0,0,0,0
test,52,0,0,0,0,0
test,53,0,12,0,0,12
test,54,0,12,0,0,12
test,55,0,0,0,0,0
test,56,0,0,0,0,0
test,57,0,0,12,0,12
test,58,0,0,0,0,0
test,59,0,0,0,0,0
test,60,0,0,0,0,0
test,61,0,0,0,0,0
test,65,0,0,0,0,0
test,67,0,0,12,0,12
