split,skin_color,samples,users,sample_frac,user_frac
train,light,731,71,0.24612794612794614,0.24067796610169492
train,tan,1015,103,0.34175084175084175,0.34915254237288135
train,dark,1187,115,0.39966329966329966,0.3898305084745763
train,unlabeled,37,6,0.012457912457912458,0.020338983050847456
val,light,163,16,0.2179144385026738,0.21621621621621623
val,tan,289,30,0.38636363636363635,0.40540540540540543
val,dark,296,28,0.39572192513368987,0.3783783783783784
val,unlabeled,0,0,0.0,0.0
test,light,137,14,0.20820668693009117,0.21212121212121213
test,tan,215,21,0.32674772036474165,0.3181818181818182
test,dark,298,30,0.45288753799392095,0.45454545454545453
test,unlabeled,8,1,0.0121580547112462,0.015151515151515152
