split,age_year,light,tan,dark,unlabeled,total
train,10,1,3,1,0,5
train,11,1,6,5,0,12
train,12,2,7,5,0,14
train,13,1,13,3,0,17
train,14,9,14,11,0,34
train,15,2,3,8,1,14
train,16,4,5,8,1,18
train,17,5,2,5,1,13
train,18,1,3,2,0,6
train,19,4,2,5,0,11
train,20,4,2,4,0,10
train,21,1,4,5,0,10
train,22,0,4,6,0,10
train,23,4,3,3,0,10
train,24,2,1,3,0,6
train,25,0,1,4,0,5
train,26,1,2,2,0,5
train,27,0,2,4,0,6
train,28,0,1,2,1,4
train,29,6,1,1,0,8
train,30,1,1,1,0,3
train,31,1,2,0,0,3
train,32,1,0,2,0,3
train,33,0,0,2,0,2
train,34,0,2,2,0,4
train,35,1,0,2,0,3
train,36,1,0,0,0,1
train,37,1,2,2,0,5
train,38,2,2,0,0,4
train,39,0,2,0,0,2
train,40,0,2,1,0,3
train,41,1,0,0,0,1
train,42,0,2,2,0,4
train,43,0,1,2,0,3
train,44,0,0,0,0,0
train,45,1,1,1,1,4
train,46,1,1,1,0,3
train,47,4,0,2,0,6
train,48,0,0,2,0,2
train,49,1,0,0,1,2
train,50,0,1,1,0,2
train,51,1,1,1,0,3
train,52,0,1,1,0,2
train,53,0,0,0,0,0
train,54,2,1,0,0,3
train,55,1,1,0,0,2
train,56,0,0,1,0,1
train,57,0,0,0,0,0
train,58,1,0,0,0,1
train,59,0,1,0,0,1
train,60,1,0,1,0,2
train,61,1,0,0,0,1
train,65,0,0,1,0,1
train,67,0,0,0,0,0
val,10,0,2,0,0,2
val,11,0,1,2,0,3
val,12,0,4,1,0,5
val,13,1,0,2,0,3
val,14,1,4,2,0,7
val,15,1,2,2,0,5
val,16,1,1,1,0,3
val,17,2,2,0,0,4
val,18,0,0,1,0,1
val,19,1,1,1,0,3
val,20,0,2,2,0,4
val,21,1,0,1,0,2
val,22,0,2,0,0,2
val,23,0,1,1,0,2
val,24,1,0,1,0,2
val,25,0,0,1,0,1
val,26,0,1,1,0,2
val,27,1,0,0,0,1
val,28,0,1,0,0,1
val,29,1,0,1,0,2
val,30,1,0,0,0,1
val,31,0,0,0,0,0
val,32,0,2,0,0,2
val,33,0,0,0,0,0
val,34,0,0,0,0,0
val,35,0,0,1,0,1
val,36,0,0,1,0,1
val,37,1,0,0,0,1
val,38,0,0,0,0,0
val,39,0,1,0,0,1
val,40,0,0,0,0,0
val,41,0,1,0,0,1
val,42,0,1,0,0,1
val,43,1,0,0,0,1
val,44,0,0,1,0,1
val,45,0,0,0,0,0
val,46,0,0,1,0,1
val,47,0,0,1,0,1
val,48,0,0,0,0,0
val,49,0,0,1,0,1
val,50,1,0,0,0,1
val,51,1,0,0,0,1
val,52,0,0,0,0,0
val,53,0,0,0,0,0
val,54,0,0,0,0,0
val,55,0,0,1,0,1
val,56,0,0,0,0,0
val,57,0,0,1,0,1
val,58,0,0,0,0,0
val,59,0,1,0,0,1
val,60,0,0,0,0,0
val,61,0,0,0,0,0
val,65,0,0,0,0,0
val,67,0,0,0,0,0
test,10,0,0,0,0,0
test,11,2,1,1,0,4
test,12,1,3,0,0,4
test,13,0,0,3,0,3
test,14,2,1,4,0,7
test,15,1,3,0,0,4
test,16,0,0,3,0,3
test,17,2,2,0,0,4
test,18,1,0,1,0,2
test,19,0,1,1,0,2
test,20,0,1,2,0,3
test,21,1,0,0,0,1
test,22,0,0,1,0,1
test,23,0,0,3,0,3
test,24,0,0,1,0,1
test,25,0,1,1,0,2
test,26,1,0,1,0,2
test,27,0,0,0,0,0
test,28,1,0,1,0,2
test,29,0,0,0,1,1
test,30,1,0,0,0,1
test,31,0,0,0,0,0
test,32,0,0,0,0,0
test,33,0,1,0,0,1
test,34,0,1,0,0,1
test,35,0,0,0,0,0
test,36,0,0,0,0,0
test,37,0,0,1,0,1
test,38,0,0,0,0,0
test,39,1,0,0,0,1
test,40,0,0,0,0,0
test,41,0,1,0,0,1
test,42,0,2,0,0,2
test,43,0,0,0,0,0
test,44,0,0,0,0,0
test,45,0,0,1,0,1
test,46,0,0,1,0,1
test,47,0,1,0,0,1
test,48,0,0,0,0,0
test,49,0,0,0,0,0
test,50,0,0,2,0,2
test,51,0,0,0,0,0
test,52,0,0,0,0,0
test,53,0,1,0,0,1
test,54,0,1,0,0,1
test,55,0,0,0,0,0
test,56,0,0,0,0,0
test,57,0,0,1,0,1
test,58,0,0,0,0,0
test,59,0,0,0,0,0
test,60,0,0,0,0,0
test,61,0,0,0,0,0
test,65,0,0,0,0,0
test,67,0,0,1,0,1
