split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
overall,light,87,0.23577235772357724,87,0.23577235772357724,0.0
overall,tan,133,0.3604336043360434,133,0.3604336043360434,0.0
overall,dark,143,0.3875338753387534,143,0.3875338753387534,0.0
overall,unlabeled,6,0.016260162601626018,6,0.016260162601626018,0.0
fold_0,light,16,0.21621621621621623,87,0.23577235772357724,0.019556141507361013
fold_0,tan,30,0.40540540540540543,133,0.3604336043360434,0.04497180106936205
fold_0,dark,28,0.3783783783783784,143,0.3875338753387534,0.009155496960374987
fold_0,unlabeled,0,0.0,6,0.016260162601626018,0.016260162601626018
fold_1,light,21,0.28378378378378377,87,0.23577235772357724,0.04801142606020653
fold_1,tan,26,0.35135135135135137,133,0.3604336043360434,0.009082252984692007
fold_1,dark,27,0.36486486486486486,143,0.3875338753387534,0.02266901047388853
fold_1,unlabeled,0,0.0,6,0.016260162601626018,0.016260162601626018
fold_2,light,11,0.14864864864864866,87,0.23577235772357724,0.08712370907492858
fold_2,tan,28,0.3783783783783784,133,0.3604336043360434,0.01794477404233502
fold_2,dark,33,0.44594594594594594,143,0.3875338753387534,0.05841207060719256
fold_2,unlabeled,2,0.02702702702702703,6,0.016260162601626018,0.01076686442540101
fold_3,light,20,0.2702702702702703,87,0.23577235772357724,0.034497912546693044
fold_3,tan,25,0.33783783783783783,133,0.3604336043360434,0.02259576649820555
fold_3,dark,26,0.35135135135135137,143,0.3875338753387534,0.036182523987402015
fold_3,unlabeled,3,0.04054054054054054,6,0.016260162601626018,0.024280377938914525
fold_4,light,19,0.2602739726027397,87,0.23577235772357724,0.02450161487916247
fold_4,tan,24,0.3287671232876712,133,0.3604336043360434,0.031666481048372164
fold_4,dark,29,0.3972602739726027,143,0.3875338753387534,0.009726398633849331
fold_4,unlabeled,1,0.0136986301369863,6,0.016260162601626018,0.0025615324646397174
