split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
overall,10-11,22,0.05962059620596206,22,0.05962059620596206,0.0
overall,12-13,39,0.10569105691056911,39,0.10569105691056911,0.0
overall,14-15,60,0.16260162601626016,60,0.16260162601626016,0.0
overall,16-17,38,0.10298102981029811,38,0.10298102981029811,0.0
overall,18-19 | light,6,0.016260162601626018,6,0.016260162601626018,0.0
overall,18-19 | tan,6,0.016260162601626018,6,0.016260162601626018,0.0
overall,18-19 | dark,9,0.024390243902439025,9,0.024390243902439025,0.0
overall,20-21 | light,6,0.016260162601626018,6,0.016260162601626018,0.0
overall,20-21 | tan,8,0.02168021680216802,8,0.02168021680216802,0.0
overall,20-21 | dark,12,0.032520325203252036,12,0.032520325203252036,0.0
overall,22-23,24,0.06504065040650407,24,0.06504065040650407,0.0
overall,24-25 | dark,9,0.024390243902439025,9,0.024390243902439025,0.0
overall,24-25,5,0.013550135501355014,5,0.013550135501355014,0.0
overall,26-27,14,0.037940379403794036,14,0.037940379403794036,0.0
overall,28-29 | light,7,0.018970189701897018,7,0.018970189701897018,0.0
overall,28-29,8,0.02168021680216802,8,0.02168021680216802,0.0
overall,30-31,7,0.018970189701897018,7,0.018970189701897018,0.0
overall,32-33,7,0.018970189701897018,7,0.018970189701897018,0.0
overall,34-35,8,0.02168021680216802,8,0.02168021680216802,0.0
overall,36-37,8,0.02168021680216802,8,0.02168021680216802,0.0
overall,38-39,7,0.018970189701897018,7,0.018970189701897018,0.0
overall,40-41,5,0.013550135501355014,5,0.013550135501355014,0.0
overall,42-43,9,0.024390243902439025,9,0.024390243902439025,0.0
overall,44-45,5,0.013550135501355014,5,0.013550135501355014,0.0
overall,46-47,11,0.02981029810298103,11,0.02981029810298103,0.0
overall,48-50,8,0.02168021680216802,8,0.02168021680216802,0.0
overall,51-55 | light,5,0.013550135501355014,5,0.013550135501355014,0.0
overall,51-55,7,0.018970189701897018,7,0.018970189701897018,0.0
overall,56-65,9,0.024390243902439025,9,0.024390243902439025,0.0
fold_0,10-11,5,0.06756756756756757,22,0.05962059620596206,0.007946971361605513
fold_0,12-13,8,0.10810810810810811,39,0.10569105691056911,0.0024170511975390024
fold_0,14-15,12,0.16216216216216217,60,0.16260162601626016,0.00043946385409798783
fold_0,16-17,7,0.0945945945945946,38,0.10298102981029811,0.008386435215703508
fold_0,18-19 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_0,18-19 | tan,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_0,18-19 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_0,20-21 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_0,20-21 | tan,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_0,20-21 | dark,3,0.04054054054054054,12,0.032520325203252036,0.008020215337288507
fold_0,22-23,4,0.05405405405405406,24,0.06504065040650407,0.010986596352450015
fold_0,24-25 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_0,24-25,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_0,26-27,3,0.04054054054054054,14,0.037940379403794036,0.0026001611367465066
fold_0,28-29 | light,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_0,28-29,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_0,30-31,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_0,32-33,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_0,34-35,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_0,36-37,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_0,38-39,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_0,40-41,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_0,42-43,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_0,44-45,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_0,46-47,2,0.02702702702702703,11,0.02981029810298103,0.0027832710759540004
fold_0,48-50,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_0,51-55 | light,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_0,51-55,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_0,56-65,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_1,10-11,5,0.06756756756756757,22,0.05962059620596206,0.007946971361605513
fold_1,12-13,7,0.0945945945945946,39,0.10569105691056911,0.011096462315974512
fold_1,14-15,12,0.16216216216216217,60,0.16260162601626016,0.00043946385409798783
fold_1,16-17,8,0.10810810810810811,38,0.10298102981029811,0.005127078297810006
fold_1,18-19 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_1,18-19 | tan,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_1,18-19 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_1,20-21 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_1,20-21 | tan,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_1,20-21 | dark,3,0.04054054054054054,12,0.032520325203252036,0.008020215337288507
fold_1,22-23,5,0.06756756756756757,24,0.06504065040650407,0.0025269171610634994
