source,age_year,sample_count
archive,10,40
archive,11,20
archive,12,99
archive,13,39
archive,14,80
archive,15,181
archive,16,180
archive,17,141
archive,18,140
archive,19,40
archive,20,19
archive,21,61
archive,22,19
archive,23,60
archive,24,20
archive,25,20
archive,26,21
archive,27,21
archive,28,40
archive,30,100
archive,31,80
archive,32,80
archive,33,40
archive,34,20
archive,36,20
archive,37,20
archive,39,20
archive,40,59
archive,42,40
archive,44,20
archive,45,59
archive,48,20
archive,52,20
archive,54,20
archive,58,20
archive,60,40
archive,65,20
archive,68,20
archive,71,20
handrgbd,10,83
handrgbd,11,226
handrgbd,12,269
handrgbd,13,274
handrgbd,14,571
handrgbd,15,269
handrgbd,16,282
handrgbd,17,263
handrgbd,18,106
handrgbd,19,192
handrgbd,20,203
handrgbd,21,156
handrgbd,22,157
handrgbd,23,179
handrgbd,24,106
handrgbd,25,94
handrgbd,26,100
handrgbd,27,74
handrgbd,28,79
handrgbd,29,124
handrgbd,30,60
handrgbd,31,48
handrgbd,32,60
handrgbd,33,30
handrgbd,34,59
handrgbd,35,48
handrgbd,36,24
handrgbd,37,84
handrgbd,38,48
handrgbd,39,38
handrgbd,40,24
handrgbd,41,36
handrgbd,42,82
handrgbd,43,48
handrgbd,44,10
handrgbd,45,60
handrgbd,46,60
handrgbd,47,96
handrgbd,48,25
handrgbd,49,36
handrgbd,50,60
handrgbd,51,44
handrgbd,52,23
handrgbd,53,12
handrgbd,54,48
handrgbd,55,36
handrgbd,56,12
handrgbd,57,24
handrgbd,58,12
handrgbd,59,24
handrgbd,60,24
handrgbd,61,11
handrgbd,65,12
handrgbd,67,12
prolific,25,31
prolific,27,77
prolific,28,75
prolific,29,43
prolific,30,46
prolific,31,12
prolific,32,93
prolific,33,121
prolific,34,164
prolific,35,134
prolific,36,79
prolific,37,180
prolific,38,31
prolific,39,95
prolific,40,143
prolific,41,45
prolific,42,136
prolific,43,141
prolific,44,40
prolific,45,91
prolific,46,64
prolific,47,73
prolific,48,74
prolific,49,114
prolific,50,125
prolific,51,127
prolific,52,127
prolific,53,14
prolific,54,34
prolific,55,131
prolific,56,155
prolific,57,139
prolific,58,12
prolific,59,78
prolific,60,38
