split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
overall,light,7131,0.4031546811397558,7131,0.4031546811397558,0.0
overall,tan,3355,0.1896766169154229,3355,0.1896766169154229,0.0
overall,dark,7202,0.40716870194482135,7202,0.40716870194482135,0.0
fold_0,light,1428,0.4036178631995478,7131,0.4031546811397558,0.0004631820597920111
fold_0,tan,670,0.18937252685132844,3355,0.1896766169154229,0.0003040900640944588
fold_0,dark,1440,0.4070096099491238,7202,0.40716870194482135,0.00015909199569758004
fold_1,light,1426,0.4030525720746184,7131,0.4031546811397558,0.00010210906513735685
fold_1,tan,672,0.18993781797625778,3355,0.1896766169154229,0.00026120106083488137
fold_1,dark,1440,0.4070096099491238,7202,0.40716870194482135,0.00015909199569758004
fold_2,light,1426,0.4030525720746184,7131,0.4031546811397558,0.00010210906513735685
fold_2,tan,673,0.19022046353872243,3355,0.1896766169154229,0.0005438466232995376
fold_2,dark,1439,0.4067269643866591,7202,0.40716870194482135,0.00044173755816223625
fold_3,light,1425,0.4028837998303647,7131,0.4031546811397558,0.0002708813093910689
fold_3,tan,671,0.18970879276222788,3355,0.1896766169154229,3.2175846804982644e-05
fold_3,dark,1441,0.4074074074074074,7202,0.40716870194482135,0.00023870546258603076
fold_4,light,1426,0.4031665253039299,7131,0.4031546811397558,1.1844164174101834e-05
fold_4,tan,669,0.18914334181509754,3355,0.1896766169154229,0.0005332751003253589
fold_4,dark,1442,0.40769013288097256,7202,0.40716870194482135,0.0005214309361512015
