split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
overall,10-11 | light,168,0.009497964721845319,168,0.009497964721845319,0.0
overall,10-11 | tan,82,0.0046359113523292625,82,0.0046359113523292625,0.0
overall,10-11 | dark,186,0.01051560379918589,186,0.01051560379918589,0.0
overall,12-13 | light,196,0.011080958842152872,196,0.011080958842152872,0.0
overall,12-13 | tan,93,0.005257801899592945,93,0.005257801899592945,0.0
overall,12-13 | dark,205,0.011589778380823156,205,0.011589778380823156,0.0
overall,14-15 | light,204,0.011533242876526458,204,0.011533242876526458,0.0
overall,14-15 | tan,90,0.00508819538670285,90,0.00508819538670285,0.0
overall,14-15 | dark,206,0.011646313885119856,206,0.011646313885119856,0.0
overall,16-17 | light,210,0.011872455902306648,210,0.011872455902306648,0.0
overall,16-17 | tan,100,0.005653550429669833,100,0.005653550429669833,0.0
overall,16-17 | dark,212,0.011985526910900044,212,0.011985526910900044,0.0
overall,18-19 | light,214,0.012098597919493442,214,0.012098597919493442,0.0
overall,18-19 | tan,92,0.005201266395296246,92,0.005201266395296246,0.0
overall,18-19 | dark,221,0.01249434644957033,221,0.01249434644957033,0.0
overall,20-21 | light,220,0.012437810945273632,220,0.012437810945273632,0.0
overall,20-21 | tan,99,0.005597014925373134,99,0.005597014925373134,0.0
overall,20-21 | dark,213,0.012042062415196744,213,0.012042062415196744,0.0
overall,22-23 | light,214,0.012098597919493442,214,0.012098597919493442,0.0
overall,22-23 | tan,101,0.005710085933966531,101,0.005710085933966531,0.0
overall,22-23 | dark,222,0.012550881953867029,222,0.012550881953867029,0.0
overall,24-25 | light,225,0.012720488466757123,225,0.012720488466757123,0.0
overall,24-25 | tan,100,0.005653550429669833,100,0.005653550429669833,0.0
overall,24-25 | dark,225,0.012720488466757123,225,0.012720488466757123,0.0
overall,26-27 | light,233,0.01317277250113071,233,0.01317277250113071,0.0
overall,26-27 | tan,105,0.005936227951153324,105,0.005936227951153324,0.0
overall,26-27 | dark,220,0.012437810945273632,220,0.012437810945273632,0.0
overall,28-29 | light,218,0.012324739936680235,218,0.012324739936680235,0.0
overall,28-29 | tan,101,0.005710085933966531,101,0.005710085933966531,0.0
overall,28-29 | dark,228,0.012890094979647219,228,0.012890094979647219,0.0
overall,30-31 | light,222,0.012550881953867029,222,0.012550881953867029,0.0
overall,30-31 | tan,103,0.005823156942559928,103,0.005823156942559928,0.0
overall,30-31 | dark,226,0.012777023971053823,226,0.012777023971053823,0.0
overall,32-33 | light,225,0.012720488466757123,225,0.012720488466757123,0.0
overall,32-33 | tan,109,0.006162369968340117,109,0.006162369968340117,0.0
overall,32-33 | dark,218,0.012324739936680235,218,0.012324739936680235,0.0
overall,34-35 | light,229,0.012946630483943917,229,0.012946630483943917,0.0
overall,34-35 | tan,108,0.006105834464043419,108,0.006105834464043419,0.0
overall,34-35 | dark,224,0.012663952962460425,224,0.012663952962460425,0.0
overall,36-37 | light,222,0.012550881953867029,222,0.012550881953867029,0.0
overall,36-37 | tan,110,0.006218905472636816,110,0.006218905472636816,0.0
overall,36-37 | dark,220,0.012437810945273632,220,0.012437810945273632,0.0
overall,38-39 | light,224,0.012663952962460425,224,0.012663952962460425,0.0
overall,38-39 | tan,106,0.005992763455450022,106,0.005992763455450022,0.0
overall,38-39 | dark,220,0.012437810945273632,220,0.012437810945273632,0.0
overall,40-41 | light,223,0.012607417458163727,223,0.012607417458163727,0.0
overall,40-41 | tan,104,0.005879692446856626,104,0.005879692446856626,0.0
overall,40-41 | dark,222,0.012550881953867029,222,0.012550881953867029,0.0
overall,42-43 | light,222,0.012550881953867029,222,0.012550881953867029,0.0
overall,42-43 | tan,106,0.005992763455450022,106,0.005992763455450022,0.0
overall,42-43 | dark,222,0.012550881953867029,222,0.012550881953867029,0.0
overall,44-45 | light,229,0.012946630483943917,229,0.012946630483943917,0.0
overall,44-45 | tan,105,0.005936227951153324,105,0.005936227951153324,0.0
overall,44-45 | dark,229,0.012946630483943917,229,0.012946630483943917,0.0
overall,46-47 | light,223,0.012607417458163727,223,0.012607417458163727,0.0
overall,46-47 | tan,108,0.006105834464043419,108,0.006105834464043419,0.0
overall,46-47 | dark,224,0.012663952962460425,224,0.012663952962460425,0.0
overall,48-49 | light,227,0.01283355947535052,227,0.01283355947535052,0.0
