fold,label_fraction,split,total_users,max_abs_frac_diff,mean_abs_frac_diff
0,0.01,overall,509,0.0,0.0
0,0.01,train_pool,407,0.001988772126296681,0.0011237527936938543
0,0.01,train_fraction,4,0.21660117878192534,0.061453831041257366
0,0.01,val,102,0.007935590739242653,0.004483993990523517
0,0.05,overall,509,0.0,0.0
0,0.05,train_pool,407,0.001988772126296681,0.0011237527936938543
0,0.05,train_fraction,20,0.11463654223968565,0.035465618860510806
0,0.05,val,102,0.007935590739242653,0.004483993990523517
0,0.10,overall,509,0.0,0.0
0,0.10,train_pool,407,0.001988772126296681,0.0011237527936938543
0,0.10,train_fraction,41,0.020460970817959653,0.006474675355790886
0,0.10,val,102,0.007935590739242653,0.004483993990523517
0,0.25,overall,509,0.0,0.0
0,0.25,train_pool,407,0.001988772126296681,0.0011237527936938543
0,0.25,train_fraction,102,0.01567857005277553,0.00637620863669633
0,0.25,val,102,0.007935590739242653,0.004483993990523517
0,0.50,overall,509,0.0,0.0
0,0.50,train_pool,407,0.001988772126296681,0.0011237527936938543
0,0.50,train_fraction,204,0.00694364189683732,0.002755113833352595
0,0.50,val,102,0.007935590739242653,0.004483993990523517
0,1.00,overall,509,0.0,0.0
0,1.00,train_pool,407,0.001988772126296681,0.0011237527936938543
0,1.00,train_fraction,407,0.001988772126296681,0.0011237527936938543
0,1.00,val,102,0.007935590739242653,0.004483993990523517
1,0.01,overall,509,0.0,0.0
1,0.01,train_pool,407,0.003412771585659606,0.0009260340890989219
1,0.01,train_fraction,4,0.21463654223968565,0.06302554027504911
1,0.01,val,102,0.013617627797680963,0.0036950575908162877
1,0.05,overall,509,0.0,0.0
1,0.05,train_pool,407,0.003412771585659606,0.0009260340890989219
1,0.05,train_fraction,20,0.06660117878192534,0.029634577603143416
1,0.05,val,102,0.013617627797680963,0.0036950575908162877
1,0.10,overall,509,0.0,0.0
1,0.10,train_pool,407,0.003412771585659606,0.0009260340890989219
1,0.10,train_fraction,41,0.02242560736019934,0.007352532464420911
1,0.10,val,102,0.013617627797680963,0.0036950575908162877
1,0.25,overall,509,0.0,0.0
1,0.25,train_pool,407,0.003412771585659606,0.0009260340890989219
1,0.25,train_fraction,102,0.017739512307870103,0.007004892330213028
1,0.25,val,102,0.013617627797680963,0.0036950575908162877
1,0.50,overall,509,0.0,0.0
1,0.50,train_pool,407,0.003412771585659606,0.0009260340890989219
1,0.50,train_fraction,204,0.00694364189683732,0.0032998189452598326
1,0.50,val,102,0.013617627797680963,0.0036950575908162877
1,1.00,overall,509,0.0,0.0
1,1.00,train_pool,407,0.003412771585659606,0.0009260340890989219
1,1.00,train_fraction,407,0.003412771585659606,0.0009260340890989219
1,1.00,val,102,0.013617627797680963,0.0036950575908162877
2,0.01,overall,509,0.0,0.0
2,0.01,train_pool,407,0.0015012333283453139,0.0007707940124443064
2,0.01,train_fraction,4,0.2244597249508841,0.06176817288801572
2,0.01,val,102,0.0059902153395739455,0.0030756192457336573
2,0.05,overall,509,0.0,0.0
2,0.05,train_pool,407,0.0015012333283453139,0.0007707940124443064
2,0.05,train_fraction,20,0.15874263261296662,0.0413516699410609
2,0.05,val,102,0.0059902153395739455,0.0030756192457336573
2,0.10,overall,509,0.0,0.0
2,0.10,train_pool,407,0.0015012333283453139,0.0007707940124443064
2,0.10,train_fraction,41,0.02242560736019934,0.007482869327710958
2,0.10,val,102,0.0059902153395739455,0.0030756192457336573
2,0.25,overall,509,0.0,0.0
